file_number	wellnumber	col_number	row_number	blank	smiles	pubchem_cid	error_code	tm_inf_	apo_tm_inf__median	apo_tm_inf__mad
2	164	20	7	FALSE	CCC3/C=C(\C)/C(O)C/C=C/C=C(\CO[C@@H]2OC(C)[C@H](OC(=O)c1c(CC)c(Cl)c(O)c(Cl)c1O)C(O)[C@@H]2OC)/C(=O)OC(C/C=C(\C)/C=C(\C)/C3O[C@@H]4OC(C)(C)[C@H](O)C(OC(=O)C(C)C)[C@@H]4O)C(C)O	3064916	0	64.47846934	68.20813253	0.069540518
6	164	20	7	FALSE	CCC3/C=C(\C)/C(O)C/C=C/C=C(\CO[C@@H]2OC(C)[C@H](OC(=O)c1c(CC)c(Cl)c(O)c(Cl)c1O)C(O)[C@@H]2OC)/C(=O)OC(C/C=C(\C)/C=C(\C)/C3O[C@@H]4OC(C)(C)[C@H](O)C(OC(=O)C(C)C)[C@@H]4O)C(C)O	3064916	0	64.41310876	68.16918549	0.097207372
10	164	20	7	FALSE	CCC3/C=C(\C)/C(O)C/C=C/C=C(\CO[C@@H]2OC(C)[C@H](OC(=O)c1c(CC)c(Cl)c(O)c(Cl)c1O)C(O)[C@@H]2OC)/C(=O)OC(C/C=C(\C)/C=C(\C)/C3O[C@@H]4OC(C)(C)[C@H](O)C(OC(=O)C(C)C)[C@@H]4O)C(C)O	3064916	0	64.33231623	68.2113126	0.093646869
5	200	8	9	FALSE	CSCC5NC(=O)C(NC(=O)C1=CSC(=N1)c2ccc(nc2C3=COC(=N3)C(=C)NC(=O)C(=C)NC(=O)C4=CSC(=N4)C(C)NC(=O)C7=CSC(CNC(=O)C6=COC5=N6)=N7)C(=O)NC(=C)C(=O)NC(=C)C(=O)NC(=C)C(=O)NC(=C)C(O)=O)C(C)O	16131422	1	58.88626181	68.2772857	0.055985758
9	200	8	9	FALSE	CSCC5NC(=O)C(NC(=O)C1=CSC(=N1)c2ccc(nc2C3=COC(=N3)C(=C)NC(=O)C(=C)NC(=O)C4=CSC(=N4)C(C)NC(=O)C7=CSC(CNC(=O)C6=COC5=N6)=N7)C(=O)NC(=C)C(=O)NC(=C)C(=O)NC(=C)C(=O)NC(=C)C(O)=O)C(C)O	16131422	0	64.09805539	68.2799394	0.146243329
13	200	8	9	FALSE	CSCC5NC(=O)C(NC(=O)C1=CSC(=N1)c2ccc(nc2C3=COC(=N3)C(=C)NC(=O)C(=C)NC(=O)C4=CSC(=N4)C(C)NC(=O)C7=CSC(CNC(=O)C6=COC5=N6)=N7)C(=O)NC(=C)C(=O)NC(=C)C(=O)NC(=C)C(=O)NC(=C)C(O)=O)C(C)O	16131422	0	63.97864191	68.28545317	0.071644612
2	259	19	11	TRUE	CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(O)=O	NA	0	68.18370544	68.20813253	0.069540518
6	259	19	11	TRUE	CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(O)=O	NA	0	68.18262531	68.16918549	0.097207372
10	259	19	11	TRUE	CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(O)=O	NA	0	68.16371203	68.2113126	0.093646869
3	18	18	1	FALSE	Oc2cc(O)cc(/C=C/c1ccc(O)c(O)c1)c2	667639	0	68.69788516	68.18583865	0.051594247
7	18	18	1	FALSE	Oc2cc(O)cc(/C=C/c1ccc(O)c(O)c1)c2	667639	0	68.69115247	68.1895422	0.0319947
11	18	18	1	FALSE	Oc2cc(O)cc(/C=C/c1ccc(O)c(O)c1)c2	667639	0	68.76043605	68.29213889	0.091890082
5	196	4	9	FALSE	C/C=C/C=C/C=C/C3=CC1=CC(=O)C(C)(OC(=O)CC(O)CC(C)O)C(=O)C12OC2O3	10477786	0	67.38087016	68.2772857	0.055985758
9	196	4	9	FALSE	C/C=C/C=C/C=C/C3=CC1=CC(=O)C(C)(OC(=O)CC(O)CC(C)O)C(=O)C12OC2O3	10477786	0	67.65170474	68.2799394	0.146243329
13	196	4	9	FALSE	C/C=C/C=C/C=C/C3=CC1=CC(=O)C(C)(OC(=O)CC(O)CC(C)O)C(=O)C12OC2O3	10477786	0	67.3635057	68.28545317	0.071644612
2	116	20	5	FALSE	CC5(C)C[C@@H](O)[C@]4(C)CC[C@]3(C)C(=CCC2[C@@]1(C)CC[C@H](O)[C@](C)(CO)[C@@H]1CC[C@]23C)[C@@H]4C5	115012	0	67.48011296	68.20813253	0.069540518
6	116	20	5	FALSE	CC5(C)C[C@@H](O)[C@]4(C)CC[C@]3(C)C(=CCC2[C@@]1(C)CC[C@H](O)[C@](C)(CO)[C@@H]1CC[C@]23C)[C@@H]4C5	115012	0	67.28922725	68.16918549	0.097207372
10	116	20	5	FALSE	CC5(C)C[C@@H](O)[C@]4(C)CC[C@]3(C)C(=CCC2[C@@]1(C)CC[C@H](O)[C@](C)(CO)[C@@H]1CC[C@]23C)[C@@H]4C5	115012	0	67.33099097	68.2113126	0.093646869
2	375	15	16	FALSE	CC(C)C[C@@H]1NC(=O)[C@]23[C@H]1[C@H](C)C(C)=C[C@@H]2/C=C(\C)/CC[C@H](O)[C@H](O)/C=C/C3=O	44575564	0	67.72594595	68.20813253	0.069540518
6	375	15	16	FALSE	CC(C)C[C@@H]1NC(=O)[C@]23[C@H]1[C@H](C)C(C)=C[C@@H]2/C=C(\C)/CC[C@H](O)[C@H](O)/C=C/C3=O	44575564	0	67.61897856	68.16918549	0.097207372
10	375	15	16	FALSE	CC(C)C[C@@H]1NC(=O)[C@]23[C@H]1[C@H](C)C(C)=C[C@@H]2/C=C(\C)/CC[C@H](O)[C@H](O)/C=C/C3=O	44575564	0	67.67339616	68.2113126	0.093646869
5	260	20	11	FALSE	COC(C)c3c(O)cc2C(=O)c1cc(O)cc(O)c1C(=O)c2c3O	21603511	0	68.72935111	68.2772857	0.055985758
9	260	20	11	FALSE	COC(C)c3c(O)cc2C(=O)c1cc(O)cc(O)c1C(=O)c2c3O	21603511	0	68.86507615	68.2799394	0.146243329
13	260	20	11	FALSE	COC(C)c3c(O)cc2C(=O)c1cc(O)cc(O)c1C(=O)c2c3O	21603511	0	68.83958839	68.28545317	0.071644612
2	16	16	1	FALSE	CC[C@@H]7CC68OC(=O)C(OC(=O)[C@@]5(C)[C@@H]4CC[C@H](O)C(O[C@@H]3O[C@H](C)[C@@H](OC(=O)c1c(C)cccc1OC)[C@H](O[C@H]2C[C@H](O)[C@H](OC)[C@@H](C)O2)[C@H]3O)[C@H]4C=C(C)[C@H]5CCCC[C@]6(C)C=C7C(O)=O)=C8O	54695541	0	65.77329633	68.20813253	0.069540518
6	16	16	1	FALSE	CC[C@@H]7CC68OC(=O)C(OC(=O)[C@@]5(C)[C@@H]4CC[C@H](O)C(O[C@@H]3O[C@H](C)[C@@H](OC(=O)c1c(C)cccc1OC)[C@H](O[C@H]2C[C@H](O)[C@H](OC)[C@@H](C)O2)[C@H]3O)[C@H]4C=C(C)[C@H]5CCCC[C@]6(C)C=C7C(O)=O)=C8O	54695541	0	66.08771011	68.16918549	0.097207372
10	16	16	1	FALSE	CC[C@@H]7CC68OC(=O)C(OC(=O)[C@@]5(C)[C@@H]4CC[C@H](O)C(O[C@@H]3O[C@H](C)[C@@H](OC(=O)c1c(C)cccc1OC)[C@H](O[C@H]2C[C@H](O)[C@H](OC)[C@@H](C)O2)[C@H]3O)[C@H]4C=C(C)[C@H]5CCCC[C@]6(C)C=C7C(O)=O)=C8O	54695541	0	66.00674669	68.2113126	0.093646869
2	356	20	15	TRUE	COc2cc1C=CC(=O)Oc1cc2O	NA	0	68.14528439	68.20813253	0.069540518
6	356	20	15	TRUE	COc2cc1C=CC(=O)Oc1cc2O	NA	0	68.3118664	68.16918549	0.097207372
10	356	20	15	TRUE	COc2cc1C=CC(=O)Oc1cc2O	NA	0	68.28581465	68.2113126	0.093646869
2	257	17	11	FALSE	CC/C=C\C/C=C\C\C=C/CCCCCCCC(O)=O	5280934	0	66.05544756	68.20813253	0.069540518
6	257	17	11	FALSE	CC/C=C\C/C=C\C\C=C/CCCCCCCC(O)=O	5280934	0	66.17036254	68.16918549	0.097207372
10	257	17	11	FALSE	CC/C=C\C/C=C\C\C=C/CCCCCCCC(O)=O	5280934	1	66.20864873	68.2113126	0.093646869
2	226	10	10	FALSE	CCCC(=O)c1c(cc(O)c(CC)c1O)OC	26470515	0	68.70426616	68.20813253	0.069540518
6	226	10	10	FALSE	CCCC(=O)c1c(cc(O)c(CC)c1O)OC	26470515	0	68.76529608	68.16918549	0.097207372
