library	broad_id	other_id	smiles	hit	std_attempted	trosy_attempted	trosy_validated	pool	color	parsed	hba	hbd	logp	mw	rotb	tpsa
f19	BRD-K66604388-001-01-5		NC(=O)C1CCN(CC(=O)Nc2cccc(F)c2)CC1	0	0	0	0	NA	#66A61E	TRUE	5	2	0	279.1	5	75.4
f19	BRD-A97731293-001-02-3		CCOC(=O)NCC1CN(C(=O)C1)c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	5	1	1.5	280.1	6	58.6
f19	BRD-A15801402-001-01-3		CC(Cn1nc(C)nc1C)C(=O)Nc1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	4	1	1.7	276.1	5	59.8
f19	BRD-K26791088-001-01-2		Fc1ccccc1CC(=O)NCCCn1ncccc1=O	0	0	0	0	NA	#66A61E	TRUE	3	1	1.7	289.1	7	64
f19	BRD-A83275568-001-01-7		CCC(C)NC(=O)CN1CCN(C1=O)c1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	5	1	0.3	293.2	6	52.7
f19	BRD-K80294337-001-01-9		Cc1noc(C)c1CC(=O)NCCOc1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.6	292.1	7	64.4
f19	BRD-K54931767-001-01-7		Cc1cc(CNC(=O)c2ccccc2C(F)(F)F)no1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.7	284.1	5	55.1
f19	BRD-A99255506-001-01-6		CN(C1CCS(=O)(=O)C1)C(=O)c1c(F)cccc1F	0	0	0	0	NA	#66A61E	TRUE	4	0	0.9	289.1	3	62.8
f19	BRD-K55241760-001-07-4		Fc1ccccc1NC(=O)NCc1cccnc1	0	0	0	0	NA	#66A61E	TRUE	4	2	1.9	245.1	5	54
f19	BRD-K98666018-001-07-1		OC(=O)Cn1c(nc2ccccc12)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	1	2.4	244	3	55.1
f19	BRD-K96383150-004-01-0		Fc1cccc(CSC2=NCCN2)c1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.5	210.1	3	49.7
f19	BRD-K36910700-001-02-2		Oc1ccnc2ccc(F)cc12	0	0	0	0	NA	#66A61E	TRUE	1	1	2.2	163	0	33.1
f19	BRD-K14126816-001-01-4		Fc1ccccc1C(=O)N1CCC(Cn2ccnc2)CC1	0	0	0	0	NA	#66A61E	TRUE	3	0	0.4	287.1	4	38.1
f19	BRD-A40362151-001-01-8		CN(C1CCS(=O)(=O)C1)C(=O)c1cccc(F)c1	0	0	0	0	NA	#66A61E	TRUE	4	0	0.7	271.1	3	62.8
f19	BRD-K03396927-001-01-2		Fc1cccc(F)c1C(=O)NCCn1ncccc1=O	0	0	0	0	NA	#66A61E	TRUE	3	1	2.3	279.1	5	64
